13.35, 374.633, -340.522
13.4, 392.648, -320.68
13.45, 409.712, -299.885
13.5, 425.775, -278.183
13.55, 440.788, -255.622
13.6, 454.707, -232.253
13.65, 467.487, -208.129
13.7, 479.087, -183.306
13.75, 489.47, -157.841
13.8, 498.601, -131.795
13.85, 506.446, -105.23
13.9, 512.978, -78.2077
13.95, 518.169, -50.795
14, 521.998, -23.058
14.05, 524.444, 4.93536
14.1, 525.492, 33.1159
14.15, 525.129, 61.4135
14.2, 523.346, 89.7575
14.25, 520.137, 118.076
14.3, 515.5, 146.298
14.35, 509.438, 174.35
14.4, 501.955, 202.161
14.45, 493.061, 229.659
14.5, 482.768, 256.771
14.55, 471.093, 283.426
14.6, 458.056, 309.554
14.65, 443.68, 335.085
14.7, 427.993, 359.95
14.75, 411.025, 384.081
14.8, 392.81, 407.413
14.85, 373.387, 429.882
14.9, 352.796, 451.424
14.95, 331.081, 471.978
15, 308.291, 491.487
